board,winner
 X XXOOO ,1
XOOXXXOOX,0
OOXXXXXOO,0
OXXOXXOOX,0
OOOXX XXO,1
XO XXO XO,0
XXOOXXOOX,0
XX OXXOOO,1
OOOOXX XX,1
OXX XXOOO,1
XOXXOXXOO,0
OOXXXOOXX,0
 X XXOOO ,1
XXXOOXOOX,0
 X OOOX X,1
XX XXOOOO,1
 OXXXO XO,0
XO XXOOX ,0
 OXXXO XO,0
XXOOXOOXX,0
 X OXOX  ,0
 X XXOOO ,1
  XOX  XO,0
OOXXXXOOX,0
XOOXXXOXO,0
XX XXOOOO,1
OOXOXXXXO,0
OX XXOXO ,0
XXOXX OOO,1
XXOOXXOOX,0
OX OXXXO ,0
O XXX XOO,0
 X OXOOXX,0
OX XXXOOO,1
XOXOXXXOO,0
 X XXOXOO,0
 XOXXOOOX,1
OX OX  X ,0
OOOXXOXX ,1
XOOOXX OX,1
 X XXOXOO,0
 OXOXX OX,0
 XOOX  X ,0
 OOOXXOXX,1
OOOOXXXX ,1
XOOOXOXX ,1
OOXOXOXXX,0
OOXXXXXOO,0
OX XXOOOX,1
 OOOXXXXO,1
 OXOXXO X,0
XXOOXXOOX,0
XX XXOOOO,1
 X OXO X ,0
OOXXXXXOO,0
 OXXX XOO,0
XOOXXXXOO,0
XOOXX  XO,0
O XOXOXX ,0
 OXOXX XO,0
 X OXO X ,0
XOOXXXXOO,0
 OOOXX X ,1
OOX XXO X,0
XOXOXXOOX,0
 OOOXX X ,1
X OXXOOOX,1
 X XXOXOO,0
 XOOOX X ,1
XOXOXXOXO,0
OOXXXOOXX,0
 OXOXOX X,0
OX  XOXOX,0
XOOOXO XX,1
XOX XXOOO,1
OOXXXXOXO,0
OX OXX OX,0
OOOXXX OX,1
OXOXXXOOX,0
OOXXXOXOX,0
XOXOXOXOX,0
 OXOX  X ,0
 X OXO X ,0
OX XXOXO ,0
OXXXXOXOO,0
OOX XXOX ,0
XOXOXXOXO,0
OOXXXO X ,0
 OOOXXOXX,1
 X XXOOO ,1
 XXOXXOOO,1
XOXOXXOOX,0
 XOXXOXO ,0
 OOOXXXXO,1
 OXOXXOX ,0
 OXOXXO X,0
OOOOXX XX,1
 OXOXXOX ,0
XOX XXOOO,1
OXXOXXXOO,0
XOXOXXOOX,0
  XOXO X ,0
 OOOX  XX,1
 X XXOOO ,1
OX XOXXO ,0
 X OXO X ,0
 XOXXOXO ,0
XOX XOXO ,0
X OXXOX O,0
OOXXXOOXX,0
 XXOXOOOX,1
 X OXO X ,0
 OOOXX X ,1
XO XXOOX ,0
 X XXOXOO,0
 OOOXX X ,1
OXOOOXXX ,1
X OXX XOO,0
  XOX  XO,0
XXOXXOOO ,1
XOOOXX XO,1
 X XOOOX ,1
XXOXXOXOO,0
 X OXO X ,0
XOOOXXOX ,1
 OXOXX OX,0
 XOXX XOO,0
XXOOXOOXX,0
 OOOXX X ,1
