Exp_id,Algorithm,Noise_Ratio,T,s,Max_Included_Literals,Epochs,Platform,Total_Time,Accuracy
20250225083536,Graph NN,0.005,0,0,0,2000,CPU,44.10563063621521,80.87431788444519
20250225090119,Graph NN,0.005,0,0,0,2000,CPU,49.34887194633484,84.45355296134949
20250225090119,GraphTM,0.005,10000,10.0,23,10,CUDA,109.94287848472595,98.82513661202185
20250225090119,TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,944.8344459533691,76.63934426229508
20250225090119,Graph NN,0.01,0,0,0,2000,CPU,36.30448269844055,81.99453353881836
20250225090119,GraphTM,0.01,10000,10.0,23,10,CUDA,113.23237609863281,98.4153005464481
20250225090119,TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,936.9574060440063,74.93169398907104
20250225090119,Graph NN,0.02,0,0,0,2000,CPU,38.477863073349,87.54098415374756
20250225090119,GraphTM,0.02,10000,10.0,23,10,CUDA,120.61202812194824,97.73224043715847
20250225090119,TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,1001.9182693958282,72.1311475409836
20250225090119,Graph NN,0.05,0,0,0,2000,CPU,48.03118896484375,79.20765280723572
20250225090119,GraphTM,0.05,10000,10.0,23,10,CUDA,135.30033922195435,95.10928961748634
20250225090119,TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,962.4823818206787,64.17349726775956
20250225090119,Graph NN,0.1,0,0,0,2000,CPU,35.70058226585388,73.55191111564636
20250225090119,GraphTM,0.1,10000,10.0,23,10,CUDA,150.0443034172058,90.19125683060109
20250225090119,TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,936.1979103088379,49.35109289617486
20250225090119,Graph NN,0.2,0,0,0,2000,CPU,40.174824714660645,63.22404146194458
20250225090119,GraphTM,0.2,10000,10.0,23,10,CUDA,169.9642357826233,77.95081967213115
20250225090119,TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,959.6620714664459,20.116120218579233
20250225090119,Graph NN,0.005,0,0,0,2000,CPU,35.725218534469604,89.75409865379333
20250225090119,GraphTM,0.005,10000,10.0,23,10,CUDA,110.31502270698547,98.60655737704917
20250225090119,TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,1024.4315028190613,76.74180327868852
20250225090119,Graph NN,0.01,0,0,0,2000,CPU,32.86650729179382,83.03278684616089
20250225090119,GraphTM,0.01,10000,10.0,23,10,CUDA,112.99009418487549,98.4153005464481
20250225090119,TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,1040.9654848575592,73.49726775956285
20250225090119,Graph NN,0.02,0,0,0,2000,CPU,29.535728454589844,88.63387703895569
20250225090119,GraphTM,0.02,10000,10.0,23,10,CUDA,120.96075296401978,97.78688524590164
20250225090119,TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,1054.357099056244,72.78005464480874
20250225090119,Graph NN,0.05,0,0,0,2000,CPU,47.468485832214355,75.10929107666016
20250225090119,GraphTM,0.05,10000,10.0,23,10,CUDA,134.4755368232727,95.08196721311475
20250225090119,TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,949.9652540683746,63.79781420765027
20250225090119,Graph NN,0.1,0,0,0,2000,CPU,38.58360719680786,71.967214345932
20250225090119,GraphTM,0.1,10000,10.0,23,10,CUDA,148.94670748710632,90.1639344262295
20250225090119,TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,1027.843326807022,49.14617486338798
20250225090119,Graph NN,0.2,0,0,0,2000,CPU,37.01042413711548,66.42076373100281
20250225090119,GraphTM,0.2,10000,10.0,23,10,CUDA,169.78875064849854,79.94535519125682
20250225090119,TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,1019.9154229164124,20.116120218579233
20250225090119,Graph NN,0.005,0,0,0,2000,CPU,46.6854362487793,75.84699392318726
20250225090119,GraphTM,0.005,10000,10.0,23,10,CUDA,110.07307553291321,98.82513661202185
20250225090119,TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,1019.9013290405273,76.74180327868852
20250225090119,Graph NN,0.01,0,0,0,2000,CPU,41.087942600250244,83.77048969268799
20250225090119,GraphTM,0.01,10000,10.0,23,10,CUDA,112.69408297538757,98.4153005464481
20250225090119,TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,1012.4928967952728,75.10245901639344
20250225090119,Graph NN,0.02,0,0,0,2000,CPU,42.92523193359375,88.44262361526489
20250225090119,GraphTM,0.02,10000,10.0,23,10,CUDA,120.11772298812866,97.59562841530055
20250225090119,TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,1006.3243997097015,72.1311475409836
20250225090119,Graph NN,0.05,0,0,0,2000,CPU,36.374452352523804,85.49180030822754
20250225090119,GraphTM,0.05,10000,10.0,23,10,CUDA,134.70963144302368,94.15300546448087
20250225090119,TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,959.455883026123,64.00273224043715
