Algorithm,Noise_Ratio,T,s,Max_Included_Literals,Epochs,Platform,Total_Time,Accuracy
Graph NN,0.005,0,0,0,20000,CPU,418.9250466823578,75.62841773033142
GraphTM,0.005,10000,10.0,23,10,CUDA,110.35683226585388,98.68852459016394
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,1059.1634759902954,76.81010928961749
Graph NN,0.01,0,0,0,20000,CPU,550.6980571746826,94.50819492340088
GraphTM,0.01,10000,10.0,23,10,CUDA,114.06276345252991,98.4153005464481
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,1051.916612625122,75.3415300546448
Graph NN,0.02,0,0,0,20000,CPU,475.44024682044983,75.30054450035095
GraphTM,0.02,10000,10.0,23,10,CUDA,121.55624794960022,97.8415300546448
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,1043.9487817287445,72.1311475409836
Graph NN,0.05,0,0,0,20000,CPU,411.8552327156067,80.98360896110535
GraphTM,0.05,10000,10.0,23,10,CUDA,136.7814338207245,94.20765027322405
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,1044.2656917572021,64.00273224043715
Graph NN,0.1,0,0,0,20000,CPU,484.6550889015198,68.7158465385437
GraphTM,0.1,10000,10.0,23,10,CUDA,150.34457921981812,89.72677595628416
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,1061.191523551941,49.62431693989071
Graph NN,0.2,0,0,0,20000,CPU,483.8463816642761,71.28415107727051
GraphTM,0.2,10000,10.0,23,10,CUDA,169.18810439109802,78.49726775956285
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,1071.927158355713,20.116120218579233
Graph NN,0.005,0,0,0,20000,CPU,473.5806052684784,86.36612296104431
GraphTM,0.005,10000,10.0,23,10,CUDA,110.18979954719543,98.60655737704917
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,979.0509588718414,76.74180327868852
Graph NN,0.01,0,0,0,20000,CPU,444.6897065639496,93.55190992355347
GraphTM,0.01,10000,10.0,23,10,CUDA,112.48035550117493,98.4153005464481
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,1007.9654748439789,74.86338797814209
Graph NN,0.02,0,0,0,20000,CPU,386.32835030555725,93.22404265403748
GraphTM,0.02,10000,10.0,23,10,CUDA,120.46316766738892,97.73224043715847
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,1017.5866801738739,73.25819672131148
Graph NN,0.05,0,0,0,20000,CPU,417.78410935401917,73.1693983078003
GraphTM,0.05,10000,10.0,23,10,CUDA,135.64952206611633,95.08196721311475
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,945.0465729236603,64.00273224043715
Graph NN,0.1,0,0,0,20000,CPU,481.6537721157074,77.18579173088074
GraphTM,0.1,10000,10.0,23,10,CUDA,149.57958960533142,90.08196721311475
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,938.0212676525116,49.59016393442623
Graph NN,0.2,0,0,0,20000,CPU,391.36059975624084,64.15300369262695
GraphTM,0.2,10000,10.0,23,10,CUDA,169.49347591400146,77.65027322404372
