Algorithm,Noise_Ratio,T,s,Max_Included_Literals,Epochs,Platform,Total_Time,Accuracy
Graph NN,0.005,0,0,0,1000,CPU,0.03006434440612793,76.72131061553955
GraphTM,0.005,10000,10.0,23,10,CUDA,34.547648191452026,98.46994535519126
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,89.6943154335022,76.63934426229508
Graph NN,0.01,0,0,0,1000,CPU,0.01817464828491211,75.95628499984741
GraphTM,0.01,10000,10.0,23,10,CUDA,34.95576763153076,98.44262295081967
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,96.10501098632812,74.93169398907104
Graph NN,0.02,0,0,0,1000,CPU,0.03073263168334961,81.22950792312622
GraphTM,0.02,10000,10.0,23,10,CUDA,36.0724892616272,97.43169398907104
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,95.67133641242981,72.40437158469946
Graph NN,0.05,0,0,0,1000,CPU,0.014258623123168945,83.52459073066711
GraphTM,0.05,10000,10.0,23,10,CUDA,38.86628317832947,95.0
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,96.7427487373352,64.65163934426229
Graph NN,0.1,0,0,0,1000,CPU,0.022305965423583984,73.33333492279053
GraphTM,0.1,10000,10.0,23,10,CUDA,37.45086216926575,90.08196721311475
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,90.45554423332214,49.8292349726776
Graph NN,0.2,0,0,0,1000,CPU,0.03204679489135742,59.863388538360596
GraphTM,0.2,10000,10.0,23,10,CUDA,16.268279790878296,78.77049180327869
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,96.16712856292725,20.184426229508194
Graph NN,0.005,0,0,0,1000,CPU,0.0168764591217041,76.85792446136475
GraphTM,0.005,10000,10.0,23,10,CUDA,31.40691065788269,98.82513661202185
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,88.05298614501953,76.74180327868852
Graph NN,0.01,0,0,0,1000,CPU,0.01720118522644043,87.4316930770874
GraphTM,0.01,10000,10.0,23,10,CUDA,31.529547214508057,98.4153005464481
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,89.19472336769104,74.93169398907104
Graph NN,0.02,0,0,0,1000,CPU,0.014032602310180664,78.36065292358398
GraphTM,0.02,10000,10.0,23,10,CUDA,32.8007595539093,97.62295081967213
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,94.56675243377686,72.6775956284153
Graph NN,0.05,0,0,0,1000,CPU,0.016784191131591797,76.88524723052979
GraphTM,0.05,10000,10.0,23,10,CUDA,34.84256434440613,94.75409836065573
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,96.4975814819336,64.1051912568306
Graph NN,0.1,0,0,0,1000,CPU,0.014883041381835938,70.54644823074341
GraphTM,0.1,10000,10.0,23,10,CUDA,36.750433683395386,89.97267759562841
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,96.35110449790955,50.341530054644814
Graph NN,0.2,0,0,0,1000,CPU,0.03427433967590332,61.50273084640503
GraphTM,0.2,10000,10.0,23,10,CUDA,39.63756251335144,79.01639344262294
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,97.00698733329773,20.116120218579233
Graph NN,0.005,0,0,0,20000,CPU,370.7295939922333,87.5683069229126
GraphTM,0.005,10000,10.0,23,10,CUDA,342.7878243923187,98.82513661202185
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,954.4101324081421,76.63934426229508
Graph NN,0.01,0,0,0,20000,CPU,304.6031119823456,86.74863576889038
GraphTM,0.01,10000,10.0,23,10,CUDA,346.8704605102539,98.25136612021858
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,978.3629264831543,74.93169398907104
Graph NN,0.02,0,0,0,20000,CPU,403.2585175037384,75.30054450035095
GraphTM,0.02,10000,10.0,23,10,CUDA,353.39254236221313,97.65027322404372
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,971.3300836086273,72.1311475409836
Graph NN,0.05,0,0,0,20000,CPU,398.8085067272186,93.8524603843689
GraphTM,0.05,10000,10.0,23,10,CUDA,368.16111874580383,94.59016393442623
